subjID,country,stimA,stimB,decision,recogA,recogB,accuracy
2,1,11,33,2,0,0,0
2,1,32,22,1,0,0,0
3,1,3,46,1,1,0,1
3,1,39,55,2,0,0,0
3,1,51,68,1,1,0,1
3,1,15,34,1,1,0,1
3,1,28,66,1,0,0,1
3,1,65,10,2,0,1,1
3,1,56,18,1,0,0,0
3,1,27,57,2,1,1,0
3,1,6,70,1,1,0,1
3,1,31,59,1,0,1,1
3,1,61,82,2,0,0,0
3,1,45,67,1,1,0,1
3,1,50,16,2,0,0,1
3,1,72,52,2,0,1,1
3,1,73,12,1,0,1,0
3,1,19,37,1,1,1,1
3,1,58,35,1,1,1,0
3,1,5,24,1,1,0,1
3,1,76,63,1,1,1,0
3,1,29,60,1,1,0,1
3,1,7,2,2,0,1,1
3,1,20,80,2,0,0,0
3,1,13,42,1,1,1,1
3,1,53,40,2,0,0,1
3,1,54,79,1,1,0,1
3,1,43,83,1,0,1,1
3,1,49,44,1,0,0,0
3,1,48,21,1,0,0,0
3,1,4,74,2,1,0,0
3,1,23,38,1,1,1,1
3,1,36,25,2,1,1,1
3,1,8,14,2,1,1,0
3,1,78,30,2,1,1,1
3,1,9,81,1,1,1,1
3,1,75,26,2,0,0,1
3,1,62,71,1,0,0,1
3,1,64,47,1,0,0,0
3,1,1,77,1,1,0,1
3,1,17,69,1,0,0,1
3,1,11,33,1,0,0,1
3,1,32,22,1,0,1,0
3,2,16,44,2,1,1,0
3,2,67,58,2,0,1,1
3,2,24,66,1,1,1,1
3,2,51,50,2,1,1,1
3,2,38,70,2,1,1,0
3,2,39,15,2,1,1,1
3,2,40,11,1,1,1,0
3,2,62,48,1,1,1,0
3,2,60,17,2,0,1,1
3,2,32,7,2,1,1,1
3,2,68,23,2,1,1,1
3,2,63,6,2,1,1,1
3,2,8,26,1,1,1,1
3,2,61,31,2,1,1,1
3,2,46,36,2,0,1,1
3,2,37,65,1,1,1,1
3,2,59,73,1,1,0,1
3,2,29,57,2,1,1,0
3,2,28,34,1,1,1,1
3,2,74,33,2,0,1,1
3,2,71,52,2,0,1,1
3,2,64,54,2,0,1,1
3,2,53,45,1,1,1,0
3,2,13,42,1,1,0,1
3,2,41,56,1,1,0,1
3,2,72,20,2,1,1,1
3,2,2,3,2,1,1,0
3,2,47,14,2,1,1,1
3,2,18,22,1,1,1,1
3,2,1,35,1,1,1,1
3,2,21,25,1,1,1,1
3,2,55,30,2,1,1,1
3,2,12,9,1,1,1,0
3,2,4,5,2,1,1,0
3,2,10,69,1,1,0,1
3,2,19,49,1,1,1,1
3,2,43,27,1,1,1,0
3,3,40,13,2,0,0,1
3,3,9,16,2,0,0,0
3,3,35,1,2,1,1,1
3,3,22,12,2,0,1,1
3,3,27,42,1,1,0,1
3,3,10,6,1,1,1,0
3,3,8,24,1,1,0,1
3,3,30,31,1,0,0,1
3,3,25,47,2,0,0,0
3,3,41,20,1,0,0,0
3,3,4,36,2,0,0,0
3,3,28,19,1,0,0,0
3,3,34,26,1,0,0,0
3,3,21,37,1,0,0,1
3,3,14,29,1,0,0,1
3,3,23,7,1,1,0,0
3,3,17,3,2,1,1,1
3,3,48,38,1,0,0,0
3,3,49,46,2,0,0,1
3,3,11,33,1,1,0,1
3,3,5,39,1,1,0,1
3,3,32,43,1,1,0,1
3,3,18,44,2,0,0,0
3,3,45,2,2,0,1,1
3,4,45,21,1,0,0,0
3,4,14,54,1,0,0,1
3,4,31,32,2,1,1,0
3,4,11,30,1,0,0,1
3,4,41,1,2,1,1,1
3,4,8,49,1,1,0,1
3,4,17,40,2,0,0,0
3,4,9,52,1,1,0,1
3,4,7,61,1,1,0,1
3,4,15,43,1,0,1,1
3,4,38,58,2,0,1,0
3,4,53,55,1,0,0,1
3,4,28,57,2,1,1,0
3,4,35,39,1,0,0,1
3,4,66,27,1,0,0,0
3,4,60,34,2,0,0,1
3,4,16,18,2,0,1,0
3,4,19,13,2,1,1,1
3,4,47,50,2,1,0,0
3,4,63,23,2,0,1,1
3,4,5,56,2,0,1,0
3,4,65,59,2,0,1,1
3,4,64,22,1,0,0,0
3,4,42,36,1,0,0,0
3,4,33,24,1,0,0,0
3,4,62,44,1,0,0,0
3,4,25,4,2,1,1,1
3,4,29,3,2,0,1,1
3,4,10,20,2,0,0,0
3,4,26,12,1,1,0,0
3,4,2,6,1,1,0,1
3,4,51,48,1,1,0,0
3,4,37,46,2,0,0,0
4,1,3,46,1,0,0,1
4,1,39,55,2,0,0,0
4,1,51,68,1,0,0,1
4,1,15,34,1,0,0,1
4,1,28,66,2,0,0,0
4,1,65,10,2,0,0,1
4,1,56,18,2,0,0,1
4,1,27,57,2,0,0,0
4,1,6,70,1,0,0,1
4,1,31,59,2,0,0,0
4,1,61,82,2,0,0,0
4,1,45,67,2,0,0,0
4,1,50,16,2,0,0,1
4,1,72,52,2,0,0,1
4,1,73,12,1,0,0,0
4,1,19,37,1,0,0,1
4,1,58,35,1,0,0,0
4,1,5,24,1,1,0,1
4,1,76,63,2,0,0,1
4,1,29,60,1,0,0,1
4,1,7,2,1,0,0,0
4,1,20,80,1,0,0,1
4,1,13,42,1,0,0,1
4,1,53,40,2,0,0,1
4,1,54,79,2,0,1,0
4,1,43,83,2,0,1,0
4,1,49,44,2,0,0,1
4,1,48,21,1,0,0,0
4,1,4,74,1,0,0,1
4,1,23,38,1,0,0,1
4,1,36,25,1,0,0,0
4,1,8,14,2,0,0,0
4,1,78,30,1,0,0,0
4,1,9,81,1,0,0,1
4,1,75,26,2,0,0,1
4,1,62,71,1,0,0,1
4,1,64,47,1,0,0,0
4,1,1,77,1,1,0,1
4,1,17,69,2,0,1,0
4,1,11,33,1,0,0,1
4,1,32,22,1,0,0,0
4,2,16,44,2,0,1,0
4,2,67,58,2,0,1,1
4,2,24,66,2,1,1,0
4,2,51,50,1,1,0,0
4,2,38,70,2,0,1,0
4,2,39,15,2,1,1,1
4,2,40,11,1,1,1,0
4,2,62,48,2,1,1,1
4,2,60,17,2,0,1,1
4,2,32,7,2,0,1,1
4,2,68,23,2,0,1,1
4,2,63,6,2,0,1,1
4,2,8,26,2,1,1,0
4,2,61,31,1,1,1,0
4,2,46,36,2,0,1,1
4,2,37,65,1,1,0,1
4,2,59,73,1,1,0,1
4,2,29,57,2,1,1,0
4,2,28,34,2,0,1,0
4,2,74,33,2,0,0,1
4,2,71,52,2,0,1,1
4,2,64,54,2,0,1,1
4,2,53,45,1,1,1,0
4,2,13,42,1,1,0,1
4,2,41,56,1,1,1,1
4,2,72,20,2,1,1,1
4,2,2,3,1,1,1,1
4,2,47,14,2,1,1,1
4,2,18,22,2,1,1,0
4,2,1,35,1,1,1,1
4,2,21,25,2,1,1,0
4,2,55,30,2,1,1,1
4,2,12,9,2,1,1,1
4,2,4,5,2,1,1,0
4,2,10,69,1,1,0,1
4,2,19,49,1,1,0,1
4,2,43,27,2,0,1,1
4,3,40,13,2,0,0,1
4,3,9,16,2,0,0,0
4,3,35,1,2,0,1,1
4,3,22,12,2,0,0,1
4,3,27,42,2,0,0,0
4,3,10,6,1,0,0,0
4,3,8,24,1,1,0,1
4,3,30,31,1,0,0,1
4,3,25,47,2,0,0,0
4,3,41,20,1,0,0,0
4,3,4,36,1,0,0,1
4,3,28,19,2,0,0,1
4,3,34,26,1,0,0,0
4,3,21,37,1,0,0,1
4,3,14,29,2,0,0,0
4,3,23,7,1,0,0,0
4,3,17,3,1,0,0,0
4,3,48,38,1,0,0,0
4,3,49,46,1,0,0,0
4,3,11,33,1,1,0,1
4,3,5,39,2,0,0,0
4,3,32,43,1,0,0,1
4,3,18,44,1,0,0,1
4,3,45,2,2,0,0,1
4,4,45,21,2,0,1,1
4,4,14,54,2,0,0,0
4,4,31,32,2,0,0,0
4,4,11,30,1,0,0,1
4,4,41,1,2,1,1,1
4,4,8,49,1,0,0,1
4,4,17,40,1,0,0,1
4,4,9,52,1,1,0,1
4,4,7,61,1,0,0,1
4,4,15,43,1,0,0,1
4,4,38,58,2,0,0,0
4,4,53,55,1,0,0,1
4,4,28,57,2,0,1,0
4,4,35,39,2,0,0,0
4,4,66,27,1,0,0,0
4,4,60,34,2,0,0,1
4,4,16,18,2,0,0,0
4,4,19,13,1,0,0,0
4,4,47,50,1,1,0,1
4,4,63,23,1,1,0,0
4,4,5,56,2,0,1,0
4,4,65,59,2,0,0,1
4,4,64,22,1,0,0,0
4,4,42,36,1,1,0,0
4,4,33,24,1,0,0,0
4,4,62,44,2,0,0,1
4,4,25,4,1,0,0,0
4,4,29,3,1,0,0,0
4,4,10,20,2,0,0,0
4,4,26,12,1,0,0,0
4,4,2,6,1,1,0,1
4,4,51,48,1,0,0,0
4,4,37,46,1,1,0,1
5,1,3,46,1,1,0,1
5,1,39,55,2,0,0,0
5,1,51,68,1,0,0,1
5,1,15,34,1,1,0,1
5,1,28,66,1,0,0,1
5,1,65,10,2,0,0,1
5,1,56,18,2,0,0,1
5,1,27,57,2,0,0,0
5,1,6,70,1,1,0,1
5,1,31,59,1,0,0,1
5,1,61,82,1,0,0,1
5,1,45,67,1,0,0,1
5,1,50,16,2,0,0,1
5,1,72,52,2,0,1,1
5,1,73,12,2,0,1,1
5,1,19,37,1,0,0,1
5,1,58,35,1,0,0,0
5,1,5,24,1,1,0,1
5,1,76,63,1,0,0,0
5,1,29,60,1,0,0,1
5,1,7,2,2,0,1,1
5,1,20,80,2,0,0,0
5,1,13,42,1,1,0,1
5,1,53,40,2,0,0,1
5,1,54,79,1,0,0,1
5,1,43,83,2,0,0,0
5,1,49,44,1,0,0,0
5,1,48,21,1,0,0,0
5,1,4,74,1,1,0,1
5,1,23,38,2,0,0,0
5,1,36,25,1,0,0,0
5,1,8,14,2,1,1,0
5,1,78,30,1,0,0,0
5,1,9,81,1,0,0,1
5,1,75,26,2,0,0,1
5,1,62,71,1,0,0,1
5,1,64,47,1,0,0,0
5,1,1,77,1,1,0,1
5,1,17,69,1,0,0,1
5,1,11,33,1,0,0,1
5,1,32,22,1,1,0,0
6,1,3,46,1,1,0,1
6,1,39,55,2,0,0,0
6,1,51,68,1,0,0,1
6,1,15,34,1,1,0,1
6,1,28,66,1,0,0,1
6,1,65,10,2,0,0,1
6,1,56,18,2,0,0,1
6,1,27,57,2,0,0,0
6,1,6,70,1,1,0,1
6,1,31,59,1,0,0,1
6,1,61,82,1,0,0,1
6,1,45,67,1,0,0,1
6,1,50,16,2,0,0,1
6,1,72,52,2,0,1,1
6,1,73,12,2,0,1,1
6,1,19,37,1,0,0,1
6,1,58,35,1,0,0,0
6,1,5,24,1,1,0,1
6,1,76,63,1,0,0,0
6,1,29,60,1,0,0,1
6,1,7,2,2,0,1,1
6,1,20,80,2,0,0,0
6,1,13,42,1,1,0,1
6,1,53,40,2,0,0,1
6,1,54,79,1,0,0,1
6,1,43,83,2,0,0,0
6,1,49,44,1,0,0,0
6,1,48,21,1,0,0,0
6,1,4,74,1,1,0,1
6,1,23,38,2,0,0,0
6,1,36,25,1,0,0,0
6,1,8,14,2,1,1,0
6,1,78,30,1,0,0,0
6,1,9,81,1,0,0,1
6,1,75,26,2,0,0,1
6,1,62,71,1,0,0,1
6,1,64,47,1,0,0,0
6,1,1,77,1,1,0,1
6,1,17,69,1,0,0,1
6,1,11,33,1,0,0,1
6,1,32,22,1,1,0,0
7,1,3,46,1,0,1,1
7,1,39,55,2,1,1,0
7,1,51,68,1,1,1,1
7,1,15,34,1,0,1,1
7,1,28,66,2,1,1,0
7,1,65,10,2,1,1,1
7,1,56,18,2,1,1,1
7,1,27,57,1,1,1,1
7,1,6,70,2,1,1,0
7,1,31,59,1,1,1,1
7,1,61,82,1,1,1,1
7,1,45,67,1,1,1,1
7,1,50,16,2,1,1,1
7,1,72,52,2,1,1,1
7,1,73,12,2,1,0,1
7,1,19,37,1,1,1,1
7,1,58,35,2,1,1,1
7,1,5,24,1,0,1,1
7,1,76,63,1,1,1,0
7,1,29,60,1,1,1,1
7,1,7,2,2,1,0,1
7,1,20,80,1,1,1,1
7,1,13,42,1,0,1,1
7,1,53,40,1,1,1,0
7,1,54,79,2,1,1,0
7,1,43,83,1,1,1,1
7,1,49,44,2,1,1,1
7,1,48,21,1,1,1,0
7,1,4,74,1,0,1,1
7,1,23,38,2,1,1,0
7,1,36,25,1,1,1,0
7,1,8,14,2,1,0,0
7,1,78,30,2,1,0,1
7,1,9,81,1,1,1,1
7,1,75,26,1,1,1,0
7,1,62,71,1,1,1,1
7,1,64,47,2,1,1,1
7,1,1,77,1,0,1,1
7,1,17,69,2,1,1,0
7,1,11,33,1,1,1,1
7,1,32,22,1,1,1,0
7,2,16,44,2,0,0,0
7,2,67,58,2,0,0,1
7,2,24,66,1,0,0,1
7,2,51,50,1,0,1,0
7,2,38,70,2,1,0,0
7,2,39,15,2,1,0,1
7,2,40,11,1,0,0,0
7,2,62,48,1,0,0,0
7,2,60,17,2,1,1,1
7,2,32,7,2,0,0,1
7,2,68,23,2,0,0,1
7,2,63,6,2,1,0,1
7,2,8,26,1,0,0,1
7,2,61,31,1,0,0,0
7,2,46,36,2,1,0,1
7,2,37,65,2,0,0,0
7,2,59,73,1,0,1,1
7,2,29,57,2,0,0,0
7,2,28,34,2,0,0,0
7,2,74,33,1,1,1,0
7,2,71,52,2,1,0,1
7,2,64,54,2,0,0,1
7,2,53,45,1,0,0,0
7,2,13,42,1,0,1,1
7,2,41,56,1,0,1,1
7,2,72,20,2,1,0,1
7,2,2,3,1,0,0,1
7,2,47,14,1,0,0,0
7,2,18,22,1,0,0,1
7,2,1,35,1,0,0,1
7,2,21,25,2,0,1,0
7,2,55,30,2,0,0,1
7,2,12,9,2,0,0,1
7,2,4,5,2,0,0,0
7,2,10,69,1,0,0,1
7,2,19,49,2,0,0,0
7,2,43,27,2,1,0,1
7,3,40,13,2,1,1,1
7,3,9,16,1,1,1,1
7,3,35,1,2,1,0,1
7,3,22,12,2,1,0,1
7,3,27,42,2,1,1,0
7,3,10,6,2,1,1,1
7,3,8,24,1,0,1,1
7,3,30,31,1,1,1,1
7,3,25,47,1,1,1,1
7,3,41,20,2,1,1,1
7,3,4,36,2,1,1,0
7,3,28,19,1,1,1,0
7,3,34,26,2,1,1,1
7,3,21,37,1,1,1,1
7,3,14,29,2,1,1,0
7,3,23,7,2,1,1,1
7,3,17,3,2,1,0,1
7,3,48,38,1,1,1,0
7,3,49,46,1,1,1,0
7,3,11,33,1,0,1,1
7,3,5,39,1,1,1,1
7,3,32,43,1,0,1,1
7,3,18,44,2,1,1,0
7,3,45,2,2,1,0,1
7,4,45,21,1,1,1,0
7,4,14,54,1,1,1,1
7,4,31,32,1,1,1,1
7,4,11,30,1,1,1,1
7,4,41,1,2,0,0,1
7,4,8,49,1,0,0,1
7,4,17,40,2,1,1,0
7,4,9,52,1,0,1,1
7,4,7,61,1,0,1,1
7,4,15,43,2,1,1,0
7,4,38,58,1,1,1,1
7,4,53,55,2,1,1,0
7,4,28,57,2,1,0,0
7,4,35,39,1,1,1,1
7,4,66,27,1,1,1,0
7,4,60,34,1,1,1,0
7,4,16,18,2,1,0,0
7,4,19,13,2,1,1,1
7,4,47,50,1,0,1,1
7,4,63,23,2,1,1,1
7,4,5,56,2,1,1,0
7,4,65,59,2,1,1,1
7,4,64,22,1,0,1,0
7,4,42,36,2,1,1,1
7,4,33,24,2,1,1,1
7,4,62,44,2,1,0,1
7,4,25,4,2,1,0,1
7,4,29,3,1,0,0,0
7,4,10,20,2,1,0,0
7,4,26,12,1,1,1,0
